"year","war","ccodea","ccodeb","original","contig.x","rivals","allies","democ_a","pow_prev","mil_prev","pow_abs","mil_abs","relpow","rate","powershift","lndistance","contig.y","dem","s_un_glo","peaceyrs","peaceyrs2","peaceyrs3","real"
1858,0,267,271,1,1,0,1,0,-0.00534400017932057,-0.00913999974727631,0.00534400017932057,0.00913999974727631,0.840851306915283,3.115,0.0278980731964111,3.80666255950928,1,0,1,210,44100,9261000,2.340567731
1859,0,365,235,1,0,0,0,0,-0.00101799995172769,-0.00139800005126745,0.00101799995172769,0.00139800005126745,0.0582945011556149,3.195,0.0209888331592083,7.79523515701294,0,0,0.833333015441895,46,2116,97336,2.52047049
1859,1,220,300,1,0,0,0,0,0.00349000003188848,0.00516000017523766,0.00349000003188848,0.00516000017523766,0.518827557563782,3.195,0.0236424207687378,6.4645881652832,0,0,0.424241989850998,10,100,1000,2.52047049
1859,1,230,600,1,0,0,0,0,0.00118999998085201,0,0.00118999998085201,0,0.0482503846287727,3.195,0.101185828447342,6.159095287323,0,0,0.909090995788574,12,144,1728,2.52047049
1859,1,325,300,1,1,0,0,0,0,0,0,0,0.148906096816063,3.195,-0.143530547618866,6.1377272605896,1,0,0.363635987043381,5,25,125,2.52047049
1860,1,325,327,1,0,0,0,0,0,0,0,0,0.371823638677597,3.2175,0.0496512576937675,5.7868971824646,0,0,0.913043022155762,140,19600,2744000,2.591866926
1860,0,245,255,1,0,0,1,0,-0.00469700014218688,-0.0105900000780821,0.00469700014218688,0.0105900000780821,0.12560898065567,3.2175,-0.0977250933647156,5.74620342254639,1,0,1,9,81,729,2.591866926
1860,1,325,329,1,0,0,0,0,0,0,0,0,0.75458437204361,3.2175,0.038332387804985,6.0935697555542,1,0,0.913043022155762,140,19600,2744000,2.591866926
1861,0,300,230,1,0,0,0,0,0.00167999998666346,0,0.00167999998666346,0,0.349968016147614,3.2875,0.0219785571098328,7.02375888824463,0,0,0.476190000772476,37,1369,50653,2.713032905
1861,1,220,70,1,0,0,0,0,0,0,0,0,0.0487356819212437,3.2875,0.0133570693433285,8.65154933929443,0,0,0.761905014514923,21,441,9261,2.713032905
1863,1,150,140,1,1,0,0,0,0,0,0,0,0.0885533094406128,3.2575,-0.102823138237,6.8134446144104,1,0,0.853658974170685,0,0,0,2.726254446
1863,1,100,130,1,1,0,0,0,0.00595000013709068,0.0326999984681606,0.00595000013709068,0.0326999984681606,0.391611337661743,3.2575,0.368988037109375,6.11368227005005,1,0,0.902438998222351,0,0,0,2.726254446
1863,1,255,390,1,1,0,0,0,-0.00116999994497746,-0.00181000004522502,0.00116999994497746,0.00181000004522502,0.0940033420920372,3.2575,0.0374437347054482,5.39362764358521,0,0,0.414633989334106,13,169,2197,2.726254446
1863,1,300,390,0,0,0,0,0,0,0,0,0,0.0708075538277626,3.2575,0.0224828124046326,6.29156923294067,0,0,0.365853995084763,100,10000,1e+06,2.726254446
1863,0,300,616,1,0,0,0,0,0,0.000866000016685575,0,0.000866000016685575,0.032585971057415,3.2575,NA,6.74288082122803,0,NA,0.365853995084763,38,1444,54872,2.726254446
1864,0,255,135,1,0,0,0,0,0,0.00328999990597367,0,0.00328999990597367,0.0374137163162231,3.3475,-0.0229353979229927,8.83956623077393,0,0,0.414633989334106,25,625,15625,2.775941675
1865,1,230,135,0,0,0,0,0,0,0.00389999989420176,0,0.00389999989420176,0.0767348483204842,3.37,0.0194251835346222,8.68524646759033,0,0,0.804877996444702,0,0,0,2.746827904
1865,1,150,160,0,1,0,0,0,-0.00471000000834465,-0.00742000015452504,0.00471000000834465,0.00742000015452504,0.318025022745132,3.37,-0.0459365695714951,6.47234630584717,1,0,0.853658974170685,13,169,2197,2.746827904
1865,0,325,616,1,0,0,0,0,-0.00790499988943338,-0.00507500022649765,0.00790499988943338,0.00507500022649765,0.162910982966423,3.37,NA,6.37502479553223,0,NA,0.869919002056122,40,1600,64000,2.746827904
1865,1,230,155,1,0,0,0,0,0.00267999991774559,0,0.00267999991774559,0,0.0526132583618164,3.37,0.0419175773859024,8.80327415466309,0,0,0.853658974170685,0,0,0,2.746827904
1866,1,280,275,0,0,0,1,0,0.00466000009328127,0.0102000003680587,0.00466000009328127,0.0102000003680587,0.436291992664337,3.43,NA,5.7397928237915,0,NA,1,23,529,12167,2.793269304
