year,war,ccodea,ccodeb,original,contig.x,rivals,allies,democ_a,pow_prev,mil_prev,pow_abs,mil_abs,relpow,rate,powershift,lndistance,contig.y,dem,s_un_glo,peaceyrs,peaceyrs2,peaceyrs3,real,namea,nameb,nameyear,plotname
1941,1,355,560,0,0,0,0,0,0.00454,0.0096,0.00454,0.0096,0.488617927,3.115,NA,8.576782227,0,0,0.740741014,21,441,9261,-3.007971802,BUL,SAF,BUL-SAF 1941,"World War II, 1941"
1941,1,2,360,0,0,0,0,1,0,0,0,0,0.040890045,3.115,NA,8.509160995,0,0,0.493826985,0,0,0,-3.007971802,USA,ROM,USA-ROM 1941,"World War II, 1941"
1941,1,2,355,0,0,0,0,1,0.000129,0.00176,0.000129,0.00176,0.008009127,3.115,NA,8.501063347,0,0,0.493826985,22,484,10648,-3.007971802,USA,BUL,USA-BUL 1941,"World War II, 1941"
1941,1,255,345,0,1,0,0,0,-0.003326,-0.024429999,0.003326,0.024429999,0.072245911,3.115,0.014168053,6.432940006,1,0,0.716049016,0,0,0,-3.007971802,GMY,YUG,GMY-YUG 1941,"World War II, 1941"
1941,1,355,345,0,1,1,1,0,-0.003231,0,0.003231,0,0.271245152,3.115,NA,5.323009968,1,0,0.740741014,11,121,1331,-3.007971802,BUL,YUG,BUL-YUG 1941,"World War II, 1941"
1941,1,355,365,0,0,0,0,0,0.000292,0,0.000292,0,0.01297237,3.115,NA,7.008505344,0,0,0.612120986,0,0,0,-3.007971802,BUL,RUS,BUL-RUS 1941,"World War II, 1941"
1941,1,355,900,0,0,0,0,0,0,0,0,0,0.246179163,3.115,NA,9.163877487,0,0,0.740741014,21,441,9261,-3.007971802,BUL,AUL,BUL-AUL 1941,"World War II, 1941"
1941,1,255,2,0,0,0,0,0,-0.01401,-0.039919998,0.01401,0.039919998,0.492609441,3.115,0.041772634,8.336151123,0,0,0.469136,0,0,0,-3.007971802,GMY,USA,GMY-USA 1941,"World War II, 1941"
1941,1,740,900,0,0,0,0,0,-0.002221,0,0.002221,0,0.153209373,3.115,0.024968058,8.506334305,0,0,0.703704,21,441,9261,-3.007971802,JPN,AUL,JPN-AUL 1941,"World War II, 1941"
1941,1,200,310,0,0,0,0,1,-0.00053,-0.001442,0.00053,0.001442,0.057599455,3.115,0.008983735,6.805722713,0,0,0.617284,21,441,9261,-3.007971802,UKG,HUN,UKG-HUN 1941,"World War II, 1941"
1941,1,310,350,0,0,0,0,0,-0.0022,0,0.0022,0,0.817041695,3.115,-0.33406207,6.549650669,0,0,0.716049016,23,529,12167,-3.007971802,HUN,GRC,HUN-GRC 1941,"World War II, 1941"
1941,1,740,200,0,0,0,0,0,-0.005459,0,0.005459,0,0.568674743,3.115,0.022104681,8.690642357,0,0,0.555555999,0,0,0,-3.007971802,JPN,UKG,JPN-UKG 1941,"World War II, 1941"
1941,1,2,325,0,0,0,0,1,0.00168,0.00795,0.00168,0.00795,0.161479056,3.115,-0.007519759,8.408939362,0,0,0.469136,37,1369,50653,-3.007971802,USA,ITA,USA-ITA 1941,"World War II, 1941"
1941,1,200,355,0,0,0,0,1,0,0,0,0,0.020540541,3.115,NA,7.133296013,0,0,0.592593014,22,484,10648,-3.007971802,UKG,BUL,UKG-BUL 1941,"World War II, 1941"
1941,1,325,345,0,1,0,0,0,-0.001921,0,0.001921,0,0.193176985,3.115,-0.217442721,6.107022762,1,0,0.765432,0,0,0,-3.007971802,ITA,YUG,ITA-YUG 1941,"World War II, 1941"
1941,1,255,365,0,1,0,0,0,-0.00671,-0.03015,0.00671,0.03015,0.663347185,3.115,0.073073119,6.909753323,1,0,0.612120986,0,0,0,-3.007971802,GMY,RUS,GMY-RUS 1941,"World War II, 1941"
1941,1,740,920,0,0,0,0,0,-0.000661,0,0.000661,0,0.019888489,3.115,0.02131379,8.660254478,0,0,0.703704,21,441,9261,-3.007971802,JPN,NEW,JPN-NEW 1941,"World War II, 1941"
1941,1,740,2,0,0,0,0,0,-0.005484,-0.01358,0.005484,0.01358,0.223526239,3.115,0.055518031,8.821732521,0,0,0.45679,0,0,0,-3.007971802,JPN,USA,JPN-USA 1941,"World War II, 1941"
1941,1,740,560,0,0,0,0,0,0,0,0,0,0.076358251,3.115,0.021845635,9.123256683,0,0,0.703704,21,441,9261,-3.007971802,JPN,SAF,JPN-SAF 1941,"World War II, 1941"
1941,1,355,920,0,0,0,0,0,0,0,0,0,0.53235209,3.115,NA,9.304376602,0,0,0.740741014,21,441,9261,-3.007971802,BUL,NEW,BUL-NEW 1941,"World War II, 1941"
1941,1,365,375,0,1,0,0,0,-0.0003,0,0.0003,0,0.015991148,3.115,0.024146909,6.320768356,1,0,0.721212029,0,0,0,-3.007971802,RUS,FIN,RUS-FIN 1941,"World War II, 1941"
1941,1,355,350,0,1,1,1,0,-0.00483,-0.005303,0.00483,0.005303,0.440780997,3.115,NA,5.786897182,1,0,0.69135797,0,0,0,-3.007971802,BUL,GRC,BUL-GRC 1941,"World War II, 1941"
1941,1,2,310,0,0,0,0,1,0,0,0,0,0.022237264,3.115,-0.006402736,8.425516129,0,0,0.469136,23,529,12167,-3.007971802,USA,HUN,USA-HUN 1941,"World War II, 1941"
1941,1,310,365,0,0,0,0,0,0.00127,0.00071,0.00127,0.00071,0.036439158,3.115,-0.050668001,6.881411076,1,0,0.587879002,23,529,12167,-3.007971802,HUN,RUS,HUN-RUS 1941,"World War II, 1941"
1941,1,310,345,0,1,0,0,0,-0.001235,0,0.001235,0,0.746483207,3.115,-0.283817679,5.283203602,1,0,0.716049016,2,4,8,-3.007971802,HUN,YUG,HUN-YUG 1941,"World War II, 1941"
1941,1,360,365,0,1,0,0,0,0.002,0,0.002,0,0.065942556,3.115,NA,6.837332726,1,0,0.612120986,0,0,0,-3.007971802,ROM,RUS,ROM-RUS 1941,"World War II, 1941"
1941,1,200,360,0,0,0,0,1,0,-0.003244,0,0.003244,0.106155492,3.115,NA,7.170119762,0,0,0.592593014,0,0,0,-3.007971802,UKG,ROM,UKG-ROM 1941,"World War II, 1941"
1941,1,360,345,0,1,0,1,0,0,0,0,0,0.740570188,3.115,NA,5.627621174,1,0,0.740741014,18,324,5832,-3.007971802,ROM,YUG,ROM-YUG 1941,"World War II, 1941"
1941,1,20,355,0,0,0,0,1,-0.001384,-0.01113,0.001384,0.01113,0.161627173,3.115,NA,8.430545807,0,0,0.740741014,21,441,9261,-3.007971802,CAN,BUL,CAN-BUL 1941,"World War II, 1941"
1942,0,200,101,1,0,0,0,1,0.000183,-0.0004798,0.000183,0.0004798,0.011876984,3.0225,-5.65E-05,8.447628975,0,0,0.474359006,38,1444,54872,-3.286620574,UKG,VEN,UKG-VEN 1942,NA
1942,0,325,91,1,0,0,0,0,-0.0001091,-0.0003717,0.0001091,0.0003717,0.005695824,3.0225,-0.000208162,8.709794998,0,0,0.628205001,0,0,0,-3.286620574,ITA,HON,ITA-HON 1942,NA
1942,0,94,365,1,0,0,0,1,2.38E-05,2.79E-05,2.38E-05,2.79E-05,0.00063328,3.0225,-3.58E-05,8.827028275,0,0,0.48427701,22,484,10648,-3.286620574,COS,RUS,COS-RUS 1942,NA
1943,0,365,920,1,0,0,1,0,0,0.000717,0,0.000717,0.007319498,3.0975,0.00183917,9.239219666,0,0,0.730768979,3,9,27,-3.213515325,RUS,NEW,RUS-NEW 1943,NA
1944,1,220,310,0,0,0,0,0,0.00687,0.00651,0.00687,0.00651,0.128523842,3.135,NA,6.655440331,0,NA,0.906432986,0,0,0,-3.200261596,FRN,HUN,FRN-HUN 1944,NA
1944,0,200,20,1,0,0,1,1,0,0.0058,0,0.0058,0.147278264,3.135,-0.020422161,8.112228394,0,1,0.754386008,24,576,13824,-3.200261596,UKG,CAN,UKG-CAN 1944,NA
1944,1,310,360,0,1,0,0,0,-0.005771,-0.02321,0.005771,0.02321,0.583069503,3.135,NA,5.986452103,1,NA,0.906432986,2,4,8,-3.200261596,HUN,ROM,HUN-ROM 1944,NA
1944,1,140,255,0,0,0,0,0,0.00509,0.018999999,0.00509,0.018999999,0.105016671,3.135,-0.002711415,8.693664551,0,0,0.672514975,0,0,0,-3.200261596,BRA,GMY,BRA-GMY 1944,NA
1944,1,140,740,0,0,0,0,0,0.00444,0.00947,0.00444,0.00947,0.214132681,3.135,-0.005834401,9.305013657,0,0,0.660818994,84,7056,592704,-3.200261596,BRA,JPN,BRA-JPN 1944,NA
1945,1,740,712,0,0,0,0,0,0,0,0,0,0.003772555,2.8925,NA,7.535296917,0,NA,0.895833015,5,25,125,-3.198352,JPN,MON,JPN-MON 1945,NA
1945,1,365,740,0,1,1,0,0,0.00534,0.015900001,0.00534,0.015900001,0.371854305,2.8925,NA,8.445482254,0,NA,0.677083015,0,0,0,-3.198352,RUS,JPN,RUS-JPN 1945,NA
1946,0,200,920,1,0,0,0,1,0,0.000905,0,0.000905,0.01172589,2.5925,0.000694094,9.367600441,0,1,0.727272987,26,676,17576,-3.496783476,UKG,NEW,UKG-NEW 1946,NA
1947,1,750,770,1,1,1,0,1,NA,NA,NA,NA,0.219480619,2.77,NA,6.054439545,1,NA,0.941175997,0,0,0,-3.376941665,IND,PAK,IND-PAK 1947,NA
1947,0,365,2,1,0,1,0,0,0.00881,0.0305,0.00881,0.0305,0.631219208,2.77,-0.069816858,8.4894104,0,0,0.127451003,0,0,0,-3.376941665,RUS,USA,RUS-USA 1947,NA
1948,1,651,666,1,1,1,0,0,NA,NA,NA,NA,0.254250944,3.2075,NA,5.575949192,1,0,0.870369971,0,0,0,-3.236237431,EGY,ISR,EGY-ISR 1948,NA
1948,1,652,666,1,1,1,0,0,NA,NA,NA,NA,0.634927094,3.2075,NA,4.897840023,1,0,0.944444001,0,0,0,-3.236237431,SYR,ISR,SYR-ISR 1948,NA
1948,1,663,666,1,1,1,0,0,NA,NA,NA,NA,0.159657717,3.2075,NA,3.784189701,1,0,0.870369971,0,0,0,-3.236237431,JOR,ISR,JOR-ISR 1948,NA
1948,1,660,666,1,1,0,0,0,NA,NA,NA,NA,0.258552969,3.2075,NA,4.976733685,1,0,0.898148,0,0,0,-3.236237431,LEB,ISR,LEB-ISR 1948,NA
1948,0,90,91,1,1,0,1,0,-0.003167,0,0.003167,0,0.329492569,3.2075,-0.112820029,5.411645889,1,0,1,19,361,6859,-3.236237431,GUA,HON,GUA-HON 1948,NA
1948,1,645,666,1,0,0,0,0,NA,NA,NA,NA,0.950677097,3.2075,NA,6.300786018,0,0,0.814814985,0,0,0,-3.236237431,IRQ,ISR,IRQ-ISR 1948,NA
1949,0,630,365,1,0,1,0,0,0,0.000391,0,0.000391,0.027845861,3.3,0.000110805,7.335633755,1,0,0.644443989,2,4,8,-3.203256664,IRN,RUS,IRN-RUS 1949,NA
1949,0,630,645,1,1,0,1,0,0.00311,0,0.00311,0,0.270061493,3.3,-0.028086588,6.068425655,1,0,0.911110997,13,169,2197,-3.203256664,IRN,IRQ,IRN-IRQ 1949,NA
1950,1,710,211,0,0,0,0,0,-0.002411,0,0.002411,0,0.092520736,3.545,0.008449743,8.5073452,0,0,0.626667023,5,25,125,-3.005177047,CHN,BEL,CHN-BEL 1950,NA
1950,1,710,210,0,0,0,0,0,0.00106,0.00243,0.00106,0.00243,0.053326838,3.545,0.015365321,8.4894104,0,0,0.626667023,5,25,125,-3.005177047,CHN,NTH,CHN-NTH 1950,NA
1950,1,840,731,0,0,0,0,0,0,0,0,0,0.780276716,3.545,0.04381907,7.44716835,0,0,0.946667016,2,4,8,-3.005177047,PHI,PRK,PHI-PRK 1950,NA
1950,1,710,800,0,0,0,0,0,0,-0.0008209,0,0.0008209,0.02953466,3.545,0.001629222,7.626082897,0,0,0.920000017,63,3969,250047,-3.005177047,CHN,THI,CHN-THI 1950,NA
1950,1,710,530,0,0,0,0,0,-0.002136,-0.006376,0.002136,0.006376,0.033841796,3.545,0.03683763,8.557566643,0,0,0.920000017,9,81,729,-3.005177047,CHN,ETH,CHN-ETH 1950,NA
1950,0,200,700,1,0,0,0,1,-0.0007149,-0.00382,0.0007149,0.00382,0.027306745,3.545,0.031025838,8.174702644,0,0,0.54666698,31,961,29791,-3.005177047,UKG,AFG,UKG-AFG 1950,NA
1950,1,2,731,0,0,1,0,1,0,0,0,0,0.010303248,3.545,-0.006091986,8.834774017,0,0,0.119999997,2,4,8,-3.005177047,USA,PRK,USA-PRK 1950,NA
1950,1,640,731,0,0,0,0,1,0,0,0,0,0.258034825,3.545,0.120491534,8.456593513,0,0,0.893333018,2,4,8,-3.005177047,TUR,PRK,TUR-PRK 1950,NA
1950,1,710,100,0,0,0,0,0,0.000461,0,0.000461,0,0.020514276,3.545,0.004132191,9.137554169,0,0,0.386667013,90,8100,729000,-3.005177047,CHN,COL,CHN-COL 1950,NA
1950,1,530,731,0,0,0,0,0,0,0,0,0,0.578483641,3.545,0.036000729,8.649799347,0,0,0.946667016,2,4,8,-3.005177047,ETH,PRK,ETH-PRK 1950,NA
1950,1,710,20,0,0,0,0,0,0.00361,0.00668,0.00361,0.00668,0.128646389,3.545,0.014140405,8.779403687,0,0,0.626667023,30,900,27000,-3.005177047,CHN,CAN,CHN-CAN 1950,NA
1950,1,710,220,0,0,0,0,0,-0.009576,-0.01414,0.009576,0.01414,0.370259523,3.545,0.152963892,8.538759232,0,0,0.653333008,0,0,0,-3.005177047,CHN,FRN,CHN-FRN 1950,NA
1950,1,220,731,0,0,0,0,1,0,0,0,0,0.084679574,3.545,0.045774817,8.604654312,0,0,0.626667023,2,4,8,-3.005177047,FRN,PRK,FRN-PRK 1950,NA
1950,1,710,920,0,0,0,0,0,0.000173,0,0.000173,0,0.009116758,3.545,-0.000384344,8.811056137,0,0,0.893333018,30,900,27000,-3.005177047,CHN,NEW,CHN-NEW 1950,NA
1950,1,210,731,0,0,0,0,1,0,0,0,0,0.353241712,3.545,0.102522135,8.556797981,0,0,0.653333008,2,4,8,-3.005177047,NTH,PRK,NTH-PRK 1950,NA
1950,1,710,640,0,0,0,0,0,0.00136,0.00327,0.00136,0.00327,0.070234716,3.545,0.059624687,8.354203224,0,0,0.866666973,90,8100,729000,-3.005177047,CHN,TUR,CHN-TUR 1950,NA
1950,1,710,732,0,0,1,0,0,-0.002477,0.00185,0.002477,0.00185,0.041608185,3.545,0.036372535,6.388561249,0,0,0.920000017,1,1,1,-3.005177047,CHN,ROK,CHN-ROK 1950,NA
1950,1,800,731,0,0,0,0,0,0,0,0,0,0.801240981,3.545,0.051863074,7.753194332,0,0,0.946667016,2,4,8,-3.005177047,THI,PRK,THI-PRK 1950,NA
1950,1,900,731,0,0,0,0,1,0,0,0,0,0.364087611,3.545,0.049369097,8.585412025,0,0,0.920000017,2,4,8,-3.005177047,AUL,PRK,AUL-PRK 1950,NA
1950,1,710,200,0,0,0,0,0,0,0.00961,0,0.00961,0.764434278,3.545,0.082193553,8.529319763,0,0,0.573333025,22,484,10648,-3.005177047,CHN,UKG,CHN-UKG 1950,NA
1950,1,920,731,0,0,0,0,1,0,0,0,0,0.334100097,3.545,0.016960323,8.756839752,0,0,0.920000017,2,4,8,-3.005177047,NEW,PRK,NEW-PRK 1950,NA
1950,0,663,220,1,0,0,0,0,-0.0005174,-0.002056,0.0005174,0.002056,0.007333688,3.545,0.006478369,7.647308826,0,0,0.608888984,4,16,64,-3.005177047,JOR,FRN,JOR-FRN 1950,NA
1950,1,200,731,0,0,0,0,1,0,0,0,0,0.040951021,3.545,0.034962013,8.592115402,0,0,0.54666698,2,4,8,-3.005177047,UKG,PRK,UKG-PRK 1950,NA
1950,1,211,731,0,0,0,0,1,0,0,0,0,0.297188491,3.545,0.057797313,8.574707031,0,0,0.653333008,2,4,8,-3.005177047,BEL,PRK,BEL-PRK 1950,NA
1950,1,710,840,0,0,0,0,0,0,0.00214,0,0.00214,0.02876742,3.545,0.003853334,7.481555939,0,0,0.920000017,4,16,64,-3.005177047,CHN,PHI,CHN-PHI 1950,NA
1950,1,20,731,0,0,0,0,1,0,0,0,0,0.193039432,3.545,-0.050718039,8.773229599,0,0,0.653333008,2,4,8,-3.005177047,CAN,PRK,CAN-PRK 1950,NA
1950,1,710,900,0,0,0,0,0,0.00177,0.0048,0.00177,0.0048,0.075377017,3.545,0.012545928,8.631771088,0,0,0.893333018,30,900,27000,-3.005177047,CHN,AUL,CHN-AUL 1950,NA
1950,1,710,350,0,0,0,0,0,0,0,0,0,0.031501096,3.545,0.015210293,8.462737083,0,0,0.920000017,6,36,216,-3.005177047,CHN,GRC,CHN-GRC 1950,NA
1950,1,350,731,0,0,0,0,0,0,0,0,0,0.738286316,3.545,0.120513916,8.553139687,0,0,0.946667016,2,4,8,-3.005177047,GRC,PRK,GRC-PRK 1950,NA
1950,0,365,40,1,0,0,0,0,0,-0.0002678,0,0.0002678,0.012272723,3.545,-7.96E-05,8.692153931,0,0,0.128888994,41,1681,68921,-3.005177047,RUS,CUB,RUS-CUB 1950,NA
1950,1,731,732,1,1,1,0,0,-0.01175,-0.046629999,0.01175,0.046629999,0.520036817,3.545,0.215251714,4.795790672,1,0,0.946667016,0,0,0,-3.005177047,PRK,ROK,PRK-ROK 1950,NA
1951,1,100,731,0,0,0,0,0,-0.044270001,0,0.044270001,0,0.831322432,3.7475,0.033868909,9.124346733,0,0,0.421052992,3,9,27,-2.262222864,COL,PRK,COL-PRK 1951,NA
1951,0,92,710,1,0,0,0,0,-2.13E-05,7.40E-05,2.13E-05,7.40E-05,0.002232622,3.7475,0.000216663,9.03491497,0,0,0.421052992,76,5776,438976,-2.262222864,SAL,CHN,SAL-CHN 1951,NA
1952,0,160,145,1,1,0,1,0,-0.005016,-0.01448,0.005016,0.01448,0.104708172,4.235,-0.017587144,7.231287003,1,0,1,23,529,12167,-1.340462459,ARG,BOL,ARG-BOL 1952,NA
1953,0,135,200,1,0,0,0,0,-0.000533,0,0.000533,0,0.021460446,4.0825,0.001189172,8.752423286,0,0,0.063290998,114,12996,1481544,-1.46935445,PER,UKG,PER-UKG 1953,NA
1954,0,210,200,1,0,0,1,1,-0.003214,-0.00691,0.003214,0.00691,0.081583783,3.7575,0.001223564,5.407171726,0,1,0.861788988,9,81,729,-1.40865283,NTH,UKG,NTH-UKG 1954,NA
1955,0,101,140,1,1,0,1,0,-0.001098,0,0.001098,0,0.121089347,4.175,0.006978869,7.711996555,1,0,1,114,12996,1481544,-0.07967638,VEN,BRA,VEN-BRA 1955,NA
1956,1,200,651,0,0,0,0,1,0.0029,0.00356,0.0029,0.00356,0.068849966,4.74,0.040602416,7.688455582,0,0,0.43294999,3,9,27,1.297771814,UKG,EGY,UKG-EGY 1956,NA
1956,0,94,220,1,0,0,0,1,0,0,0,0,0.003124884,4.74,5.17E-05,8.620832443,0,1,0.180077001,12,144,1728,1.297771814,COS,FRN,COS-FRN 1956,NA
1956,0,700,2,1,0,0,0,0,0.000436,0.00472,0.000436,0.00472,0.007393291,4.74,-0.000603974,8.843470573,0,0,0.019157,37,1369,50653,1.297771814,AFG,USA,AFG-USA 1956,NA
1956,1,220,651,0,0,0,0,1,0,0.00409,0,0.00409,0.180926904,4.74,0.031864077,7.599902153,0,0,0.41762501,12,144,1728,1.297771814,FRN,EGY,FRN-EGY 1956,NA
1956,1,666,651,1,1,1,0,1,0.00207,0.0199,0.00207,0.0199,0.233090505,4.74,0.08690846,5.575949192,1,0,0.777778029,0,0,0,1.297771814,ISR,EGY,ISR-EGY 1956,NA
1956,1,365,310,1,1,0,1,0,0,0,0,0,0.029921977,4.74,NA,6.881411076,1,NA,0.93869698,10,100,1000,1.297771814,RUS,HUN,RUS-HUN 1956,NA
1957,0,710,140,1,0,0,0,0,0.000987,0,0.000987,0,0.107509419,5.005,0.003991466,9.261888504,0,0,0.505617976,97,9409,912673,1.828764595,CHN,BRA,CHN-BRA 1957,NA
1958,0,90,220,1,0,0,0,0,0.000499,0,0.000499,0,0.019247891,4.9825,0.001338124,8.629271507,0,0,0.207406998,14,196,2744,2.334672089,GUA,FRN,GUA-FRN 1958,NA
1958,0,710,94,1,0,0,0,0,3.87E-06,0,3.87E-06,0,0.000797279,4.9825,0.00191221,9.07783699,0,0,0.511111021,38,1444,54872,2.334672089,CHN,COS,CHN-COS 1958,NA
1959,0,365,380,1,0,0,0,0,-0.001275,-0.001642,0.001275,0.001642,0.036443021,4.825,0.000584138,6.638567924,0,0,0.737828016,3,9,27,2.286693443,RUS,SWD,RUS-SWD 1959,NA
1960,0,365,395,1,0,0,0,0,-3.32E-06,NA,3.32E-06,NA,0.000243652,5.4575,NA,7.629489899,0,NA,0.520249009,10,100,1000,3.13244775,RUS,ICE,RUS-ICE 1960,NA
1960,0,365,220,1,0,0,0,0,0.00202,0.00366,0.00202,0.00366,0.183508307,5.4575,0.031886697,7.344072819,0,0,0.414330006,0,0,0,3.13244775,RUS,FRN,RUS-FRN 1960,NA
1960,0,325,2,1,0,0,1,1,0,0,0,0,0.068942361,5.4575,-0.020867586,8.408939362,0,1,0.507788002,16,256,4096,3.13244775,ITA,USA,ITA-USA 1960,NA
1960,0,200,616,1,0,0,0,1,0.000968,0.00278,0.000968,0.00278,0.011667928,5.4575,0.003595957,7.034388065,0,0,0.507788002,4,16,64,3.13244775,UKG,TUN,UKG-TUN 1960,NA
1961,0,135,130,1,1,0,1,0,0,0.015799999,0,0.015799999,0.391869813,6.27,-0.014162064,6.714170456,1,0,1,5,25,125,3.614445501,PER,ECU,PER-ECU 1961,NA
1961,1,710,750,1,1,1,0,0,-0.004416,0.00184,0.004416,0.00184,0.422078758,6.27,-0.009957671,7.76259613,1,0,0.909910023,0,0,0,3.614445501,CHN,IND,CHN-IND 1961,NA
1961,0,230,365,1,0,0,0,0,0.0025,0.00181,0.0025,0.00181,0.078756809,6.27,0.001226246,7.668560982,0,0,0.759760022,16,256,4096,3.614445501,SPN,RUS,SPN-RUS 1961,NA
1962,0,205,2,1,0,0,0,1,0,0,0,0,0.003131757,5.98,-0.000222027,8.126813889,0,1,0.276353002,40,1600,64000,3.087872708,IRE,USA,IRE-USA 1962,NA
1963,0,2,290,1,0,0,0,1,0,-0.006076,0,0.006076,0.063706823,5.5875,0.008808583,8.403352737,0,0,0.187674999,1,1,1,2.173962599,USA,POL,USA-POL 1963,NA
1963,0,225,220,1,1,0,0,1,0.00344,0.00946,0.00344,0.00946,0.074120186,5.5875,0.007627547,5.613128185,1,0,0.635854006,19,361,6859,2.173962599,SWZ,FRN,SWZ-FRN 1963,NA
1964,1,2,816,1,0,0,0,1,0.000936,0.00176,0.000936,0.00176,0.015087704,6.06,0.002282647,9.023769379,0,0,0.322403997,0,0,0,2.383340504,USA,DRV,USA-DRV 1964,NA
1964,0,2,145,1,0,0,1,1,3.85E-05,3.76E-05,3.85E-05,3.76E-05,0.00207086,6.06,0.000409672,8.262300491,0,0,0.666666985,116,13456,1560896,2.383340504,USA,BOL,USA-BOL 1964,NA
1964,0,220,713,1,0,0,0,0,0,0,0,0,0.2294866,6.06,-0.016813993,8.727129936,0,0,0.661202013,15,225,3375,2.383340504,FRN,TAW,FRN-TAW 1964,NA
1964,1,816,817,0,1,0,0,0,-0.00457,-0.01068,0.00457,0.01068,0.884416461,6.06,-0.006953955,6.568078041,1,0,0.967212975,3,9,27,2.383340504,DRV,RVN,DRV-RVN 1964,NA
1964,1,900,816,0,0,0,0,1,0.00868,0.016799999,0.00868,0.016799999,0.489195973,6.06,-0.015102148,8.48094368,0,0,0.907104015,1,1,1,2.383340504,AUL,DRV,AUL-DRV 1964,NA
1964,0,160,150,1,1,0,1,0,0.000335,0.00132,0.000335,0.00132,0.041403275,6.06,-0.095626704,6.472346306,1,0,1,1,1,1,2.383340504,ARG,PAR,ARG-PAR 1964,NA
1965,1,750,770,1,1,1,0,1,-0.0001816,-0.01055,0.0001816,0.01055,0.221456885,6.4325,0.01241909,6.054439545,1,0,0.920000017,0,0,0,2.894621296,IND,PAK,IND-PAK 1965,NA
1965,1,732,816,0,0,0,0,0,0.00567,0.0119,0.00567,0.0119,0.377375871,6.4325,0.089976251,7.441320419,0,0,0.962666988,11,121,1331,2.894621296,ROK,DRV,ROK-DRV 1965,NA
1965,0,91,220,1,0,0,0,0,-0.0001732,0,0.0001732,0,0.005905167,6.4325,0.001408637,8.607582092,0,0,0.381332994,21,441,9261,2.894621296,HON,FRN,HON-FRN 1965,NA
1965,0,200,42,1,0,0,0,1,0.00055,0.000918,0.00055,0.000918,0.009625164,6.4325,-0.009879176,8.381602287,0,0,0.407999992,41,1681,68921,2.894621296,UKG,DOM,UKG-DOM 1965,NA
1966,1,840,816,0,0,0,0,0,0.00686,0.00637,0.00686,0.00637,0.892933607,6.8175,0.036023438,6.995766163,0,0,0.922481,12,144,1728,2.655886442,PHI,DRV,PHI-DRV 1966,NA
1967,0,645,365,1,0,0,0,0,-0.0003481,-0.0005093,0.0003481,0.0005093,0.010064879,6.73,0.0001055,7.367708683,0,0,0.620513022,35,1225,42875,1.762087864,IRQ,RUS,IRQ-RUS 1967,NA
1967,0,651,220,1,0,0,0,0,-0.00357,-0.006651,0.00357,0.006651,0.188710123,6.73,0.049385428,7.599902153,0,0,0.482051015,10,100,1000,1.762087864,EGY,FRN,EGY-FRN 1967,NA
1967,0,365,770,1,0,0,0,0,0,0,0,0,0.062290184,6.73,-0.003631603,7.730175018,0,0,0.758974016,6,36,216,1.762087864,RUS,PAK,RUS-PAK 1967,NA
1967,0,365,600,1,0,0,0,0,0.000276,0.000355,0.000276,0.000355,0.01065855,6.73,0.004782242,7.855156898,0,0,0.620513022,11,121,1331,1.762087864,RUS,MOR,RUS-MOR 1967,NA
1967,1,666,652,1,1,1,0,1,0.00422,0.012,0.00422,0.012,0.878309131,6.73,0.104232103,4.897840023,1,0,0.78461498,0,0,0,1.762087864,ISR,SYR,ISR-SYR 1967,NA
1967,1,800,816,0,0,1,0,0,0.00499,0,0.00499,0,0.892341912,6.73,0.015349805,6.419994831,0,0,0.93333298,0,0,0,1.762087864,THI,DRV,THI-DRV 1967,NA
1967,1,651,666,1,1,1,0,0,-0.001397,-0.013,0.001397,0.013,0.22043477,6.73,0.074126869,5.575949192,1,0,0.78461498,0,0,0,1.762087864,EGY,ISR,EGY-ISR 1967,NA
1967,1,666,651,0,1,1,0,1,0.0014,0.013,0.0014,0.013,0.22043477,6.73,0.012035549,5.575949192,1,0,0.78461498,0,0,0,1.762087864,ISR,EGY,ISR-EGY 1967,NA
1967,1,666,663,0,1,1,0,1,0.00899,0.0104,0.00899,0.0104,0.360770643,6.73,0.120488852,3.784189701,1,0,0.78461498,0,0,0,1.762087864,ISR,JOR,ISR-JOR 1967,NA
1968,0,660,2,1,0,0,0,0,-5.77E-05,-5.05E-05,5.77E-05,5.05E-05,0.001829647,7.46,-0.000145495,8.668711662,0,0,0.167919993,22,484,10648,1.706260283,LEB,USA,LEB-USA 1968,NA
1968,0,365,145,1,0,0,0,0,2.73E-05,5.90E-05,2.73E-05,5.90E-05,0.003096611,7.46,0.000274364,8.958668709,0,0,0.493734002,120,14400,1728000,1.706260283,RUS,BOL,RUS-BOL 1968,NA
1968,0,2,750,1,0,0,0,1,0.00345,0.00294,0.00345,0.00294,0.201862499,7.46,0.000254139,8.921590805,0,1,0.348370999,21,441,9261,1.706260283,USA,IND,USA-IND 1968,NA
1969,0,365,390,1,0,0,0,0,6.27E-05,0.000288,6.27E-05,0.000288,0.01141019,8.94,-0.00023636,6.877295971,0,0,0.61403501,9,81,729,2.028417546,RUS,DEN,RUS-DEN 1969,NA
1969,0,710,663,1,0,0,0,0,0.000199,0.000321,0.000199,0.000321,0.004448483,8.94,-0.001207848,8.38594532,0,0,0.754386008,23,529,12167,2.028417546,CHN,JOR,CHN-JOR 1969,NA
